title,author,length
Under Your Scars,Ariel N. Anderson,Length: 19 hrs and 2 mins
The Road to the Salt Sea,Samuel Kolawole,Length: 9 hrs
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
The Brave,Dannika Dark,Length: 11 hrs and 52 mins
How to Succeed on Wall St. and Why You Should Absolutely Not Do It,S.A. Thomas,Length: 6 hrs and 50 mins
Meditations Marcus Aurelius: The Complete 12 Books (Translated and Annotated),Marcus Aurelius,Length: 10 hrs and 10 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 8 hrs and 26 mins
Isekai Emperor Omnibus: Books 1-3,"Michael Dalton,Adam Lance",Length: 37 hrs and 59 mins
My Pucking Crush,"Tori Chase,Deborah Garland",Length: 8 hrs and 28 mins
Sabotage,Shantel Tessier,Length: 7 hrs and 12 mins
Inked Athena,Nicole Fox,Length: 10 hrs and 50 mins
Smooth Sailing,Kristen Ashley,Length: 12 hrs and 24 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
Steal My Heart,Laura Pavlov,Length: 9 hrs
"Gemini Group® BoxSet Volume 2, Books 5-7",Riley Edwards,Length: 26 hrs and 1 min
Project Hail Mary,Andy Weir,Length: 16 hrs and 10 mins
Dream State,Eric Puchner,Length: 13 hrs and 44 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Length: 8 hrs and 22 mins
The Love in Duet Collection,Lauren Blakely,Length: 32 hrs and 45 mins
Requirements,SunriseCV,Length: 19 hrs and 45 mins
Deal with the Devil,Deborah Garland,Length: 8 hrs and 18 mins
Tell-Tale Bones,N.C. Lewis,Length: 11 hrs and 17 mins
Poisoning the Pecks of Grand Rapids,Tobin T. Buhk,Length: 5 hrs and 53 mins
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins
Return of the High Mage King,Shane Hammond,Length: 11 hrs and 52 mins
The Fruit of Her Hands,Nancy Wilson,Length: 3 hrs and 17 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
The History of the Ancient World,Susan Wise Bauer,Length: 26 hrs and 20 mins
Savior,Andy Peloquin,Length: 23 hrs and 36 mins
Self Help,"Gabrielle Bernstein,Richard C. Schwartz - foreword",Length: 6 hrs and 1 min
He Who Is a Friend,Love Belvin,Length: 15 hrs and 5 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
El Narco,Ioan Grillo,Length: 13 hrs and 37 mins
The Path to Loving Him,Meghan Quinn,Length: 13 hrs and 50 mins
