Tarih,Ev Sahibi Takım,Maç Sonucu,Konuk Takım
29-09-2024,Trabzonspor,3 - 2,Konyaspor
05-10-2024,Hatayspor,1 - 1,Trabzonspor
19-10-2024,Trabzonspor,1 - 0,Buyuksehyr
26-10-2024,Göztepe AŞ,2 - 1,Trabzonspor
03-11-2024,Trabzonspor,2 - 3,Fenerbahce
09-11-2024,Rizespor,3 - 1,Trabzonspor
25-11-2024,Trabzonspor,5 - 0,Adana Demirspor
30-11-2024,Alanyaspor,2 - 1,Trabzonspor
06-12-2024,Trabzonspor,2 - 2,Kasimpasa
16-12-2024,Galatasaray,4 - 3,Trabzonspor
22-12-2024,Trabzonspor,1 - 0,Bodrumspor
04-01-2025,Samsunspor,2 - 1,Trabzonspor
12-01-2025,Trabzonspor,5 - 0,Antalyaspor
20-01-2025,Trabzonspor,4 - 0,Sivasspor
01-02-2025,Kayserispor,0 - 0,Trabzonspor
10-02-2025,Trabzonspor,1 - 0,Eyüpspor
